https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1633737600000,2021-10-09 00:00:00,BNB/USDT,419.380,426.150,416.170,422.310,961338.35,406005254.09972,633534
1633651200000,2021-10-08 00:00:00,BNB/USDT,438.260,441.630,416.010,419.380,2130795.20,911875641.38033,1098976
1633564800000,2021-10-07 00:00:00,BNB/USDT,434.600,450.670,422.840,438.260,1996101.31,878429641.71949,1028867
1633478400000,2021-10-06 00:00:00,BNB/USDT,441.870,442.460,414.500,434.590,2148062.10,926982883.57179,1088848
1633392000000,2021-10-05 00:00:00,BNB/USDT,426.190,444.160,423.630,441.860,1693731.82,738030816.60336,937112
1633305600000,2021-10-04 00:00:00,BNB/USDT,430.110,430.380,410.310,426.220,1752180.91,736840252.02886,977631
1633219200000,2021-10-03 00:00:00,BNB/USDT,426.640,436.990,421.260,430.100,1496837.32,641907191.78407,868423
1633132800000,2021-10-02 00:00:00,BNB/USDT,421.250,438.140,410.530,426.630,1849131.26,786504065.27555,953088
1633046400000,2021-10-01 00:00:00,BNB/USDT,386.900,422.990,380.880,421.190,2740779.91,1111445765.94647,1200586
1632960000000,2021-09-30 00:00:00,BNB/USDT,366.680,388.530,365.200,386.870,2342233.68,883863371.83277,1060595
1632873600000,2021-09-29 00:00:00,BNB/USDT,332.860,374.980,331.160,366.680,3193601.65,1155275653.98903,1304192
1632787200000,2021-09-28 00:00:00,BNB/USDT,334.990,344.460,329.490,332.870,1480506.68,498668828.01201,780006
1632700800000,2021-09-27 00:00:00,BNB/USDT,343.910,357.690,334.630,335.030,1573105.43,546136926.81844,761085
1632614400000,2021-09-26 00:00:00,BNB/USDT,349.380,352.540,319.050,343.930,2648997.24,895108547.66277,1083251
1632528000000,2021-09-25 00:00:00,BNB/USDT,354.940,360.730,343.350,349.390,1471344.26,517025134.04237,770477
1632441600000,2021-09-24 00:00:00,BNB/USDT,383.310,385.000,333.300,354.980,2616311.23,929185260.24875,1230043
1632355200000,2021-09-23 00:00:00,BNB/USDT,378.830,384.450,369.000,383.360,1424982.96,537898068.18025,852808
1632268800000,2021-09-22 00:00:00,BNB/USDT,344.330,379.660,341.890,378.820,1733951.30,629500208.96604,1081453
1632182400000,2021-09-21 00:00:00,BNB/USDT,364.200,375.520,335.720,344.260,2808203.99,1008145433.03332,1458881
1632096000000,2021-09-20 00:00:00,BNB/USDT,408.770,409.990,353.420,364.150,3409293.39,1285139447.95378,1660488
1632009600000,2021-09-19 00:00:00,BNB/USDT,410.750,419.300,403.170,408.740,1237688.25,509034566.43809,908659
1631923200000,2021-09-18 00:00:00,BNB/USDT,407.150,420.390,401.800,410.750,1022237.11,422895171.10393,828861
1631836800000,2021-09-17 00:00:00,BNB/USDT,424.480,426.250,400.000,407.140,1448756.71,598246786.79550,1030180
1631750400000,2021-09-16 00:00:00,BNB/USDT,431.280,433.410,416.000,424.490,1659943.17,707294454.01665,1034414
1631664000000,2021-09-15 00:00:00,BNB/USDT,414.300,436.690,410.140,431.280,1874783.24,797733346.19020,1104368
1631577600000,2021-09-14 00:00:00,BNB/USDT,399.050,414.560,395.840,414.280,1429584.31,578172011.16089,989904
1631491200000,2021-09-13 00:00:00,BNB/USDT,416.540,419.750,381.360,399.100,2345691.41,934143190.11191,1308404
1631404800000,2021-09-12 00:00:00,BNB/USDT,404.900,421.670,397.490,416.430,1441281.72,594253819.00894,1015431
1631318400000,2021-09-11 00:00:00,BNB/USDT,401.380,415.250,399.550,404.810,1338390.91,546362090.38253,979027
1631232000000,2021-09-10 00:00:00,BNB/USDT,421.410,439.860,393.240,401.380,2411688.31,995586071.66332,1405299
1631145600000,2021-09-09 00:00:00,BNB/USDT,414.830,436.640,403.730,421.410,2468629.84,1031981045.16054,1407946
1631059200000,2021-09-08 00:00:00,BNB/USDT,418.680,425.320,381.800,414.840,3459886.66,1413375175.75185,1656226
1630972800000,2021-09-07 00:00:00,BNB/USDT,496.300,505.880,332.950,418.700,6374268.49,2803786486.46861,2579337
1630886400000,2021-09-06 00:00:00,BNB/USDT,505.700,510.550,487.000,496.290,2232675.48,1115427375.02833,1204506
1630800000000,2021-09-05 00:00:00,BNB/USDT,498.470,506.530,488.870,505.710,2014374.36,1002442721.40910,1108168
1630713600000,2021-09-04 00:00:00,BNB/USDT,488.820,511.040,485.550,498.420,2877936.65,1432676576.90140,1387415
1630627200000,2021-09-03 00:00:00,BNB/USDT,484.070,495.050,473.000,488.780,2116484.05,1032614670.72067,1137841
1630540800000,2021-09-02 00:00:00,BNB/USDT,489.500,505.440,478.000,484.080,2643356.52,1299090124.24992,1267619
1630454400000,2021-09-01 00:00:00,BNB/USDT,464.480,490.730,455.640,489.500,2595281.26,1237587901.11016,1316319
1630368000000,2021-08-31 00:00:00,BNB/USDT,460.280,477.850,451.840,464.440,2649162.43,1233219943.40468,1348971
1630281600000,2021-08-30 00:00:00,BNB/USDT,480.040,481.600,457.160,460.290,2117647.15,1001075441.28393,1204868
1630195200000,2021-08-29 00:00:00,BNB/USDT,486.610,496.400,476.110,480.060,1795835.56,871469638.84751,1068833
1630108800000,2021-08-28 00:00:00,BNB/USDT,495.040,497.560,482.790,486.610,1514514.80,739006873.08430,975384
1630022400000,2021-08-27 00:00:00,BNB/USDT,478.240,496.970,467.200,494.950,3079406.89,1488353017.33801,1512003
1629936000000,2021-08-26 00:00:00,BNB/USDT,503.490,519.820,471.000,478.140,4464562.60,2184940877.80070,2002871
1629849600000,2021-08-25 00:00:00,BNB/USDT,472.220,507.760,470.020,503.490,3995276.27,1957951630.24666,1858770
1629763200000,2021-08-24 00:00:00,BNB/USDT,499.190,505.230,461.000,472.230,3726404.71,1805189097.61120,1657768
1629676800000,2021-08-23 00:00:00,BNB/USDT,449.210,510.750,447.230,499.180,5487836.43,2697018873.40144,2157581
1629590400000,2021-08-22 00:00:00,BNB/USDT,449.260,459.000,438.100,449.220,1886759.17,847161971.92542,1046282
1629504000000,2021-08-21 00:00:00,BNB/USDT,455.300,460.890,445.000,449.250,2472011.57,1120445453.07305,1287997
1629417600000,2021-08-20 00:00:00,BNB/USDT,431.510,458.830,422.030,455.290,2787681.35,1226095577.45798,1388274
1629331200000,2021-08-19 00:00:00,BNB/USDT,396.310,432.300,391.000,431.510,3046364.58,1252913561.62689,1418834
1629244800000,2021-08-18 00:00:00,BNB/USDT,402.120,412.480,384.920,396.210,3075110.14,1227379299.14045,1471720
1629158400000,2021-08-17 00:00:00,BNB/USDT,415.840,436.370,398.660,402.070,3547052.11,1491592090.12571,1581961
1629072000000,2021-08-16 00:00:00,BNB/USDT,414.400,437.920,411.350,415.830,3266173.81,1384504597.30145,1444625
1628985600000,2021-08-15 00:00:00,BNB/USDT,408.900,415.420,396.440,414.400,2007683.55,813110866.27134,1089362
1628899200000,2021-08-14 00:00:00,BNB/USDT,411.260,419.540,400.000,408.900,2675312.05,1092505500.36647,1277638
1628812800000,2021-08-13 00:00:00,BNB/USDT,385.820,411.720,383.000,411.210,2659844.38,1061882549.95651,1248199
1628726400000,2021-08-12 00:00:00,BNB/USDT,391.230,406.950,371.770,385.800,3557165.77,1373495245.21786,1551950
1628640000000,2021-08-11 00:00:00,BNB/USDT,372.030,409.500,371.170,391.240,3365353.41,1316900222.74977,1508065
1628553600000,2021-08-10 00:00:00,BNB/USDT,354.460,377.340,348.700,372.030,3493320.60,1274046721.87546,1483585
