https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1631836800000,2021-09-17 00:00:00,LINK/USDT,29.824,30.148,27.385,27.760,17983244.78,517830416.96005,780859
1631750400000,2021-09-16 00:00:00,LINK/USDT,30.692,32.141,29.057,29.824,22342337.24,687183489.21800,909731
1631664000000,2021-09-15 00:00:00,LINK/USDT,30.815,31.479,29.600,30.692,23976921.13,734340910.44217,949672
1631577600000,2021-09-14 00:00:00,LINK/USDT,26.965,30.874,26.734,30.813,24483854.61,696305469.56220,958200
1631491200000,2021-09-13 00:00:00,LINK/USDT,29.446,29.976,25.086,26.970,28253462.14,761890077.26157,1116310
1631404800000,2021-09-12 00:00:00,LINK/USDT,27.017,29.800,26.364,29.446,16627073.82,472287008.86911,743295
1631318400000,2021-09-11 00:00:00,LINK/USDT,26.397,27.707,26.257,27.024,13295373.29,359285042.68290,628984
1631232000000,2021-09-10 00:00:00,LINK/USDT,28.021,29.587,25.633,26.399,25627222.79,702402386.32229,1005843
1631145600000,2021-09-09 00:00:00,LINK/USDT,27.175,30.205,26.500,28.017,24095492.93,679832132.55483,911494
1631059200000,2021-09-08 00:00:00,LINK/USDT,28.254,29.210,25.191,27.175,28789753.97,783960670.94274,1029376
1630972800000,2021-09-07 00:00:00,LINK/USDT,34.836,35.393,22.046,28.254,55129260.41,1664477476.15820,1856464
1630886400000,2021-09-06 00:00:00,LINK/USDT,33.623,36.386,32.477,34.842,34794877.73,1209514014.64454,1175779
1630800000000,2021-09-05 00:00:00,LINK/USDT,29.920,33.684,29.565,33.630,19583615.79,619652331.37222,782335
1630713600000,2021-09-04 00:00:00,LINK/USDT,30.794,31.215,29.453,29.914,14402212.80,438366073.64204,630462
1630627200000,2021-09-03 00:00:00,LINK/USDT,29.983,31.800,29.094,30.793,22435294.12,688963861.36936,830736
1630540800000,2021-09-02 00:00:00,LINK/USDT,29.752,30.919,28.800,29.984,21441727.97,639997075.52928,812756
1630454400000,2021-09-01 00:00:00,LINK/USDT,26.720,29.870,26.110,29.756,26024602.28,736522007.23915,895542
1630368000000,2021-08-31 00:00:00,LINK/USDT,25.058,27.575,24.706,26.719,22696368.44,598662592.92988,810533
1630281600000,2021-08-30 00:00:00,LINK/USDT,25.786,26.515,24.294,25.059,14589150.83,369979018.94807,520293
1630195200000,2021-08-29 00:00:00,LINK/USDT,25.766,26.609,25.149,25.791,12181694.10,313714814.43960,483111
1630108800000,2021-08-28 00:00:00,LINK/USDT,26.073,26.221,25.371,25.765,8967688.50,231211244.92239,378244
1630022400000,2021-08-27 00:00:00,LINK/USDT,24.400,26.176,24.010,26.068,15469055.33,388909948.32365,581893
1629936000000,2021-08-26 00:00:00,LINK/USDT,26.633,26.965,23.881,24.400,18542292.20,465702160.92783,698253
1629849600000,2021-08-25 00:00:00,LINK/USDT,25.741,26.909,25.277,26.630,16114546.19,422588672.89064,617358
1629763200000,2021-08-24 00:00:00,LINK/USDT,28.594,28.957,25.727,25.741,17649607.21,481389039.42931,664378
1629676800000,2021-08-23 00:00:00,LINK/USDT,28.007,29.367,27.800,28.600,16327776.31,468669360.71592,629026
1629590400000,2021-08-22 00:00:00,LINK/USDT,27.860,28.698,26.800,28.007,14272803.08,396684195.85373,524012
1629504000000,2021-08-21 00:00:00,LINK/USDT,28.716,29.205,27.663,27.867,17899999.38,510594920.11537,639968
1629417600000,2021-08-20 00:00:00,LINK/USDT,27.112,29.088,26.645,28.708,18819350.51,524471395.89247,718367
1629331200000,2021-08-19 00:00:00,LINK/USDT,25.349,27.151,24.510,27.120,20677931.61,531381824.63318,707404
1629244800000,2021-08-18 00:00:00,LINK/USDT,26.159,26.940,24.856,25.354,24654568.68,640746085.20878,801090
1629158400000,2021-08-17 00:00:00,LINK/USDT,27.960,30.338,25.900,26.156,31014425.39,876453783.46543,1053788
1629072000000,2021-08-16 00:00:00,LINK/USDT,27.936,30.568,27.662,27.961,28011189.61,816256829.73331,1058872
